epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.6499,1.51373,3.33069,1.43405,0.00379,0.83333,0.30101,0.22048,1.16721,3.42984,1.1816,0.000535875,0.000535875,0.000535875
2,22.0856,1.74013,3.54836,1.68878,0.00373,0.83333,0.28692,0.2125,1.15022,3.4226,1.18051,0.000837751,0.000837751,0.000837751
3,23.3791,1.37556,3.42055,1.45742,0.00458,1,0.42405,0.32164,1.15565,3.44353,1.18144,0.00048586,0.00048586,0.00048586
