epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,785.008,0.8354,0.54568,1.08259,0.95295,0.96849,0.96402,0.75607,0.88111,0.47381,1.11665,0.000456863,0.000456863,0.000456863
43,803.548,0.81731,0.53323,1.06835,0.96781,0.97061,0.98238,0.76737,0.88392,0.47684,1.11295,0.00044925,0.00044925,0.00044925
44,822.995,0.83012,0.55904,1.07873,0.97338,0.94628,0.98098,0.77058,0.85321,0.47311,1.08334,0.000441637,0.000441637,0.000441637
45,842.004,0.82222,0.54567,1.07886,0.98563,0.95688,0.97444,0.76753,0.871,0.46078,1.09828,0.000434024,0.000434024,0.000434024
46,860.831,0.81708,0.53554,1.07479,0.96989,0.96595,0.9844,0.76831,0.86559,0.47277,1.07386,0.000426411,0.000426411,0.000426411
47,880.785,0.82183,0.53477,1.07398,0.97109,0.96433,0.97593,0.76243,0.87667,0.48093,1.10958,0.000418797,0.000418797,0.000418797
48,899.3,0.7995,0.5222,1.06018,0.97803,0.96324,0.97848,0.76636,0.87861,0.44504,1.12009,0.000411184,0.000411184,0.000411184
49,917.732,0.7992,0.51959,1.06696,0.97461,0.96262,0.97859,0.76307,0.85676,0.45485,1.09045,0.000403571,0.000403571,0.000403571
50,936.547,0.78811,0.50565,1.05541,0.96508,0.97964,0.98073,0.76854,0.84924,0.43708,1.08671,0.000395958,0.000395958,0.000395958
51,955.06,0.79366,0.50611,1.05973,0.96865,0.97463,0.98299,0.77708,0.83921,0.43985,1.06399,0.000388345,0.000388345,0.000388345
52,973.772,0.78819,0.51043,1.05175,0.98174,0.96724,0.98111,0.7734,0.84271,0.44789,1.06897,0.000380732,0.000380732,0.000380732
53,992.516,0.80296,0.50292,1.06614,0.97409,0.97305,0.9782,0.75907,0.88454,0.47771,1.10528,0.000373119,0.000373119,0.000373119
54,1011.7,0.79972,0.5022,1.06321,0.97422,0.97742,0.98421,0.77759,0.83187,0.43228,1.07388,0.000365506,0.000365506,0.000365506
55,1030.54,0.77903,0.4895,1.04832,0.97892,0.97678,0.98167,0.76797,0.85705,0.42685,1.08733,0.000357893,0.000357893,0.000357893
56,1049.33,0.77933,0.49136,1.06207,0.98557,0.9758,0.98296,0.77656,0.83556,0.41709,1.08878,0.00035028,0.00035028,0.00035028
